"Nailed Fist",拳钉
Gouger,穿体凿
"Tiger's Paw",虎爪刃
"Gut Ripper",裂脏钩
"Prehistoric Claw",史前战爪
"Noble Claw",贵族战爪
"Eagle Claw",鹰爪刃
"Great White Claw",白灵之爪
"Throat Stabber",刺喉刃
"Hellion's Paw",魔爪刃
"Eye Gouger",刺眼钩
"Sharktooth Claw",鲨颚爪
"Vaal Claw",瓦尔战爪
"Imperial Claw",帝国战爪
"Terror Claw",恐惧之牙
Awl,凿钉
"Cat's Paw",猫爪刃
Blinder,袭眼钩
"Timeworn Claw",远古战爪
"Sparkling Claw",眩目爪刃
"Fright Claw",恐惧之爪
"Thresher Claw",撕裂尖爪
"Double Claw",双刃爪
"Twin Claw",重刃爪
"Gemini Claw",双子战爪
"Glass Shank",玻璃利片
"Butcher Knife",屠兽利刃
Poignard,夺命刺
"Boot Blade",窃者短匕
"Golden Kris",金光波刃
"Royal Skean",皇家短匕
"Fiend Dagger",兽血短匕
"Gutting Knife",重伤短刀
"Slaughter Knife",猎者之刃
Ambusher,伏击刺刃
"Ezomyte Dagger",艾兹麦之匕
"Skinning Knife",剥皮刀
"Platinum Kris",白金波刃
"Imperial Skean",帝国短匕
"Demon Dagger",魔灵短匕
"Carving Knife",刻骨刀
Stiletto,锐利刺匕
"Boot Knife",窃者短刃
"Copper Kris",铜锻波刃
Skean,双刃匕
"Imp Dagger",魔性之刃
"Flaying Knife",残体利刃
"Prong Dagger",尖耙短匕
Trisula,三叉短匕
Sai,战叉
"Rusted Hatchet",锈斧
Tomahawk,征战之斧
"Wrist Chopper",断腕之刃
"War Axe",行军斧
"Chest Splitter",开膛利刃
"Ceremonial Axe",血仪之斧
"Wraith Axe",凶灵之斧
"Karui Axe",卡鲁古斧
"Siege Axe",破城斧
"Reaver Axe",残暴之斧
"Butcher Axe",屠戮之斧
"Jade Hatchet",碎玉斧
"Vaal Hatchet",瓦尔战斧
"Royal Axe",皇家之斧
"Infernal Axe",狱火之刃
"Boarding Axe",万用手斧
Cleaver,切割者
"Broad Axe",阔斧
"Arming Axe",长柄斧
"Decorative Axe",富贵之斧
"Spectral Axe",幽魂之斧
"Jasper Axe",灵玉斧
"Etched Hatchet",蚀刻战斧
"Engraved Hatchet",雕文战斧
"Runic Hatchet",密文之斧
"Driftwood Club",朽木之棒
"Barbed Club",锐刺木棒
"Rock Breaker",破岩锤
"Battle Hammer",强化战锤
"Flanged Mace",护体之锤
"Ornate Mace",华丽之锤
"Phantom Mace",幻象之锤
"Ancestral Club",祖灵之杵
