"Abberath's Fury",艾貝拉斯之怒
Absolution,赦免
"Abyssal Cry",深淵戰吼
"Alchemist's Mark",煉金術士印記
Ambush,伏擊
"Ancestral Blademaster",先祖大劍師
"Ancestral Cry",先祖戰吼
"Ancestral Protector",先祖衛士
"Ancestral Warchief",先祖戰士長
Anger,憤怒
"Animate Guardian",幻化守衛
"Animate Guardian's Weapon",幻化守衛武器
"Animate Weapon",幻化武器
"Approaching Flames",無極赤炎
Arc,電弧
"Arcane Cloak",秘能披風
"Arcane Wake",秘能喚醒
"Arcanist Brand",奧術烙印
"Arctic Armour",極地裝甲
"Armageddon Brand",末日烙印
"Artillery Ballista",火砲砲塔
"Aspect of the Avian",飛羽祝福
"Aspect of the Cat",傲貓祝福
"Aspect of the Crab",蟹將祝福
"Aspect of the Spider",毒蛛祝福
"Assassin's Mark",刺客印記
"Atlas Riftwalk",異界迷蹤
Backstab,背刺
"Ball Lightning",天雷之珠
Bane,災厄
Barrage,彈幕
"Barrel Explosion",火力爆裂
"Battlemage's Cry",戰法戰吼
"Bear Trap",捕熊陷阱
Berserk,狂戰
"Blade Blast",劍刃爆破
"Blade Flurry",刀鋒亂舞
"Blade Trap",刀鋒陷阱
"Blade Vortex",飛刃風暴
Bladefall,虛空刀雨
Bladestorm,旋天劍舞
"Blast Rain",爆裂箭雨
"Blazing Salvo",熾熱魔炮
"Bleed Nova",流血冰霜
Blight,萎滅
"Blinding Aura",致盲光環
"Blink Arrow",閃現射擊
"Blood and Sand",血腥沙戮
"Blood Offering",鮮血奉獻
"Blood Rage",鮮血狂怒
"Blood Sacrament",血祭聖禮
Bodyswap,屍術傳送
"Bone Armour",骸骨鎧甲
"Bone Mortar",駭骨砲塔
"Bone Nova",刺骨新星
"Bone Offering",骸骨奉獻
Boneshatter,碎骨
"Brand Recall",烙印呼喚
Brandsurge,烙印波動
"Burning Arrow",燃燒箭矢
"Call of Steel",鋼之呼喚
"Capture Monster",捕獲野獸
"Caustic Arrow",腐蝕箭矢
"Chain Hook",奪魂勾索
"Charged Dash",雷霆衝鋒
Clarity,清晰
Cleave,劈砍
"Cobra Lash",毒蛇鞭笞
"Cold Aegis",冰冷聖盾
"Cold Snap",霜暴
Combust,戰燃
"Commandment of Blades",刀鋒之誡
"Commandment of Flames",烈火之誡
"Commandment of Force",原力之誡
"Commandment of Frost",寒冰之誡
"Commandment of Fury",狂怒之誡
"Commandment of Inferno",煉獄之誡
"Commandment of Ire",憤怒之誡
"Commandment of Light",光之誡
"Commandment of Reflection",倒影之誡
"Commandment of Spite",怨恨之誡
"Commandment of the Grave",冰墓之誡
"Commandment of the Tempest",風暴之誡
"Commandment of Thunder",雷電之誡
"Commandment of War",戰爭之誡
"Commandment of Winter",冬之誡
Conductivity,導電
Consecrate,奉獻
"Consecrated Path",奉獻之路
"Consume Bones",吞噬駭骨
Contagion,瘟疫
Contaminate,污毒之域
"Conversion Trap",迷魅陷阱
Convocation,號召
"Corpse Walk",行屍走肉
"Corrupting Fever",腐化潮
"Crackling Lance",碎雷電閃
"Create Lesser Shrine",產生低階神殿
"Creeping Frost",寒霜滲透
Cremation,熔炎送葬
"Curse Consume",詛咒強化
"Curse Transfer",詛咒轉移
Cyclone,旋風斬
"Damage Infusion",傷害灌注
"Damage On Movement Skill Use Aura",使用位移技能時受到傷害光環
"Dark Pact",暗夜血契
"Darktongue's Kiss",禁忌之吻
Dash,幻步
"Death Aura",死亡光環
"Death Walk",屍行
"Death Wish",咒死
"Decoy Totem",誘餌圖騰
"Decree of Blades",刀鋒之令
"Decree of Flames",烈火之令
"Decree of Force",原力之令
"Decree of Frost",寒冰之令
"Decree of Fury",狂怒之令
"Decree of Inferno",煉獄之令
"Decree of Ire",憤怒之令
"Decree of Light",光之令
"Decree of Reflection",倒影之令
"Decree of Spite",怨恨之令
"Decree of the Grave",冰墓之令
"Decree of the Tempest",風暴之令
"Decree of Thunder",雷電之令
"Decree of War",戰爭之令
"Decree of Winter",冬之令
"Default Attack",普通攻擊
"Defiance Banner",反抗之旗
Desecrate,褻瀆
Despair,絕望
"Destructive Link",連結：破壞
Determination,瓦爾．堅定
"Detonate Dead",屍體爆破
"Detonate Mines",遙控地雷
"Devouring Totem",吞噬圖騰
"Direct Ants",引導螞蟻
