"Nailed Fist",拳釘
"Sharktooth Claw",鯊顎爪
Awl,鑿釘
"Cat's Paw",貓爪刃
Blinder,襲眼鉤
"Timeworn Claw",遠古戰爪
"Sparkling Claw",眩目爪刃
"Fright Claw",恐懼之爪
"Double Claw",雙刃爪
"Thresher Claw",撕裂尖爪
Gouger,穿體鑿
"Tiger's Paw",虎爪刃
"Gut Ripper",裂臟鉤
"Prehistoric Claw",史前戰爪
"Noble Claw",貴族戰爪
"Eagle Claw",鷹爪刃
"Twin Claw",重刃爪
"Great White Claw",白靈之爪
"Throat Stabber",刺喉刃
"Hellion's Paw",魔爪刃
"Eye Gouger",刺眼鉤
"Vaal Claw",瓦爾戰爪
"Imperial Claw",帝國戰爪
"Terror Claw",恐懼之牙
"Gemini Claw",雙子戰爪
"Shadow Fangs",暗影獠牙
"Malign Fangs",邪惡獠牙
"Void Fangs",虛空獠牙
"Glass Shank",玻璃利片
"Skinning Knife",剝皮刀
Stiletto,銳利刺匕
"Prong Dagger",尖耙短匕
"Flaying Knife",殘體利刃
Poignard,奪命刺
Trisula,三叉短匕
"Gutting Knife",重傷短刀
Ambusher,伏擊刺刃
Sai,戰叉
"Hollowpoint Dagger",簍空短匕
"Pressurised Dagger",高壓短匕
"Pneumatic Dagger",魂靈短匕
"Ethereal Blade",虛空刀刃
"Driftwood Wand",朽木法杖
"Goat's Horn",羊角法杖
"Carved Wand",粗紋法杖
"Quartz Wand",石英法杖
"Spiraled Wand",螺紋法杖
"Sage Wand",賢者法杖
"Pagan Wand",異教法杖
"Faun's Horn",獸角法杖
"Engraved Wand",符文法杖
"Crystal Wand",水晶法杖
"Serpent Wand",蛇眼法杖
"Omen Wand",靈兆法杖
"Heathen Wand",異徒法杖
"Demon's Horn",魔角法杖
"Imbued Wand",魔性法杖
"Opal Wand",靈石法杖
"Tornado Wand",狂風法杖
"Prophecy Wand",箴言法杖
"Profane Wand",褻瀆法杖
"Assembler Wand",拼裝法杖
"Congregator Wand",匯能法杖
"Accumulator Wand",蓄能法杖
